"","GOterm","Term","numInCat","numDEI","num.expected.percent","classicFisher","ontology","direction","ParentTerm","gene_id","type"
"1","GO:0051259","protein complex oligomerization",234,10,2.08,4.6e-05,"BP","Up","protein complex oligomerization","Pver_g12900","DEG.GO.terms"
"2","GO:0051259","protein complex oligomerization",234,10,2.08,4.6e-05,"BP","Up","protein complex oligomerization","Pver_g14186","DEG.GO.terms"
"3","GO:0051259","protein complex oligomerization",234,10,2.08,4.6e-05,"BP","Up","protein complex oligomerization","Pver_g16089","DEG.GO.terms"
"4","GO:0051259","protein complex oligomerization",234,10,2.08,4.6e-05,"BP","Up","protein complex oligomerization","Pver_g1885","DEG.GO.terms"
"5","GO:0051259","protein complex oligomerization",234,10,2.08,4.6e-05,"BP","Up","protein complex oligomerization","Pver_g21036","DEG.GO.terms"
"6","GO:0051259","protein complex oligomerization",234,10,2.08,4.6e-05,"BP","Up","protein complex oligomerization","Pver_g2166","DEG.GO.terms"
"7","GO:0051259","protein complex oligomerization",234,10,2.08,4.6e-05,"BP","Up","protein complex oligomerization","Pver_g22745","DEG.GO.terms"
"8","GO:0051259","protein complex oligomerization",234,10,2.08,4.6e-05,"BP","Up","protein complex oligomerization","Pver_g22746","DEG.GO.terms"
"9","GO:0051259","protein complex oligomerization",234,10,2.08,4.6e-05,"BP","Up","protein complex oligomerization","Pver_g22747","DEG.GO.terms"
"10","GO:0051259","protein complex oligomerization",234,10,2.08,4.6e-05,"BP","Up","protein complex oligomerization","Pver_g24087","DEG.GO.terms"
"11","GO:0051259","protein complex oligomerization",234,10,2.08,4.6e-05,"BP","Up","protein complex oligomerization","Pver_g25010","DEG.GO.terms"
"12","GO:0051259","protein complex oligomerization",234,10,2.08,4.6e-05,"BP","Up","protein complex oligomerization","Pver_g25995","DEG.GO.terms"
"13","GO:0051259","protein complex oligomerization",234,10,2.08,4.6e-05,"BP","Up","protein complex oligomerization","Pver_g3251","DEG.GO.terms"
"14","GO:0051259","protein complex oligomerization",234,10,2.08,4.6e-05,"BP","Up","protein complex oligomerization","Pver_g4224","DEG.GO.terms"
"15","GO:0051259","protein complex oligomerization",234,10,2.08,4.6e-05,"BP","Up","protein complex oligomerization","Pver_g5256","DEG.GO.terms"
"16","GO:0051259","protein complex oligomerization",234,10,2.08,4.6e-05,"BP","Up","protein complex oligomerization","Pver_g7050","DEG.GO.terms"
"17","GO:0051259","protein complex oligomerization",234,10,2.08,4.6e-05,"BP","Up","protein complex oligomerization","Pver_g779","DEG.GO.terms"
"18","GO:0051259","protein complex oligomerization",234,10,2.08,4.6e-05,"BP","Up","protein complex oligomerization","Pver_g9847","DEG.GO.terms"
"19","GO:0051260","protein homooligomerization",180,8,1.6,0.00021,"BP","Up","protein complex oligomerization","Pver_g10515","DEG.GO.terms"
"20","GO:0051260","protein homooligomerization",180,8,1.6,0.00021,"BP","Up","protein complex oligomerization","Pver_g10675","DEG.GO.terms"
"21","GO:0051260","protein homooligomerization",180,8,1.6,0.00021,"BP","Up","protein complex oligomerization","Pver_g10796","DEG.GO.terms"
"22","GO:0051260","protein homooligomerization",180,8,1.6,0.00021,"BP","Up","protein complex oligomerization","Pver_g10797","DEG.GO.terms"
"23","GO:0051260","protein homooligomerization",180,8,1.6,0.00021,"BP","Up","protein complex oligomerization","Pver_g10798","DEG.GO.terms"
"24","GO:0051260","protein homooligomerization",180,8,1.6,0.00021,"BP","Up","protein complex oligomerization","Pver_g10799","DEG.GO.terms"
"25","GO:0051260","protein homooligomerization",180,8,1.6,0.00021,"BP","Up","protein complex oligomerization","Pver_g11150","DEG.GO.terms"
"26","GO:0051260","protein homooligomerization",180,8,1.6,0.00021,"BP","Up","protein complex oligomerization","Pver_g11678","DEG.GO.terms"
"27","GO:0051260","protein homooligomerization",180,8,1.6,0.00021,"BP","Up","protein complex oligomerization","Pver_g1178","DEG.GO.terms"
"28","GO:0051260","protein homooligomerization",180,8,1.6,0.00021,"BP","Up","protein complex oligomerization","Pver_g1179","DEG.GO.terms"
"29","GO:0051260","protein homooligomerization",180,8,1.6,0.00021,"BP","Up","protein complex oligomerization","Pver_g11833","DEG.GO.terms"
"30","GO:0051260","protein homooligomerization",180,8,1.6,0.00021,"BP","Up","protein complex oligomerization","Pver_g11834","DEG.GO.terms"
"31","GO:0051260","protein homooligomerization",180,8,1.6,0.00021,"BP","Up","protein complex oligomerization","Pver_g11836","DEG.GO.terms"
"32","GO:0051260","protein homooligomerization",180,8,1.6,0.00021,"BP","Up","protein complex oligomerization","Pver_g11837","DEG.GO.terms"
"33","GO:0051260","protein homooligomerization",180,8,1.6,0.00021,"BP","Up","protein complex oligomerization","Pver_g11838","DEG.GO.terms"
"34","GO:0051260","protein homooligomerization",180,8,1.6,0.00021,"BP","Up","protein complex oligomerization","Pver_g12697","DEG.GO.terms"
